identifier,tag,param_size,required_gb,pulls,capabilities,purposes,description
llama3.1,llama3.1:8b,8b,5.8,118.6M,tools,general,"Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes."
llama3.1,llama3.1:70b,70b,43.0,118.6M,tools,general,"Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes."
llama3.1,llama3.1:405b,405b,244.0,118.6M,tools,general,"Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes."
deepseek-r1,deepseek-r1:1.5b,1.5b,1.9,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
deepseek-r1,deepseek-r1:7b,7b,5.2,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
deepseek-r1,deepseek-r1:8b,8b,5.8,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
deepseek-r1,deepseek-r1:14b,14b,9.4,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
deepseek-r1,deepseek-r1:32b,32b,20.2,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
deepseek-r1,deepseek-r1:70b,70b,43.0,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
deepseek-r1,deepseek-r1:671b,671b,403.6,91.5M,tools|thinking,general|reasoning,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro."
nomic-embed-text,nomic-embed-text,default,4.0,82.7M,embedding,embedding,A high-performing open embedding model with a large token context window.
llama3.2,llama3.2:1b,1b,1.6,80.4M,tools,general,Meta's Llama 3.2 goes small with 1B and 3B models.
llama3.2,llama3.2:3b,3b,2.8,80.4M,tools,general,Meta's Llama 3.2 goes small with 1B and 3B models.
gemma3,gemma3:1b,1b,1.6,39.6M,,general,"The current, most capable model that runs on a single GPU. vision 270m"
gemma3,gemma3:4b,4b,3.4,39.6M,,general,"The current, most capable model that runs on a single GPU. vision 270m"
gemma3,gemma3:12b,12b,8.2,39.6M,,general,"The current, most capable model that runs on a single GPU. vision 270m"
gemma3,gemma3:27b,27b,17.2,39.6M,,general,"The current, most capable model that runs on a single GPU. vision 270m"
qwen2.5,qwen2.5:0.5b,0.5b,1.3,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen2.5,qwen2.5:1.5b,1.5b,1.9,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen2.5,qwen2.5:3b,3b,2.8,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen2.5,qwen2.5:7b,7b,5.2,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen2.5,qwen2.5:14b,14b,9.4,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen2.5,qwen2.5:32b,32b,20.2,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen2.5,qwen2.5:72b,72b,44.2,37.1M,tools,general,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support."
qwen3,qwen3:0.6b,0.6b,1.36,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:1.7b,1.7b,2.02,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:4b,4b,3.4,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:8b,8b,5.8,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:14b,14b,9.4,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:30b,30b,19.0,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:32b,32b,20.2,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
qwen3,qwen3:235b,235b,142.0,34.6M,tools|thinking,general|reasoning,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models."
mistral,mistral:7b,7b,5.2,32M,tools,general,"The 7B model released by Mistral AI, updated to version 0.3."
gemma2,gemma2:2b,2b,2.2,30.4M,,general,"Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B."
gemma2,gemma2:9b,9b,6.4,30.4M,,general,"Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B."
gemma2,gemma2:27b,27b,17.2,30.4M,,general,"Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B."
llama3,llama3:8b,8b,5.8,25M,,general,Meta Llama 3: The most capable openly available LLM to date
llama3,llama3:70b,70b,43.0,25M,,general,Meta Llama 3: The most capable openly available LLM to date
gemma4,gemma4:12b,12b,8.2,22.6M,,coding|general|reasoning,"Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b"
gemma4,gemma4:26b,26b,16.6,22.6M,,coding|general|reasoning,"Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b"
gemma4,gemma4:31b,31b,19.6,22.6M,,coding|general|reasoning,"Gemma 4 models are designed to deliver frontier-level performance at each size. They are well-suited for reasoning, agentic workflows, coding, and multimodal understanding. vision tools thinking audio cloud e2b e4b"
qwen2.5-coder,qwen2.5-coder:0.5b,0.5b,1.3,20.4M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:1.5b,1.5b,1.9,20.4M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:3b,3b,2.8,20.4M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:7b,7b,5.2,20.4M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:14b,14b,9.4,20.4M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
qwen2.5-coder,qwen2.5-coder:32b,32b,20.2,20.4M,tools,coding|general|reasoning,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing."
